SRR Genotype BioRep Timepoint Treatment Combined TechRep
SRR11934677-640 adr1 1 8h avrRps4 adr1_1_8h_avrRps4 TRUE
SRR11934678-641 adr1 3 8h EV adr1_3_8h_EV TRUE
SRR11934679-642 adr1 1 8h avrRpm1 adr1_1_8h_avrRpm1 TRUE
SRR11934680 adr1 2 8h avrRps4 adr1_2_8h_avrRps4 FALSE
SRR11934681-643 adr1 1 0.5h EV adr1_1_0.5h_EV TRUE
SRR11934682-644 adr1 2 8h avrRpm1 adr1_2_8h_avrRpm1 TRUE
SRR11934683-645 adr1 3 8h avrRps4 adr1_3_8h_avrRps4 TRUE
SRR11934684-646 adr1 1 8h avrRpt2 adr1_1_8h_avrRpt2 TRUE
SRR11934685-647 adr1 2 0.5h EV adr1_2_0.5h_EV TRUE
SRR11934686-648 adr1 1 0.5h avrRps4 adr1_1_0.5h_avrRps4 TRUE
SRR11934687-649 adr1 3 8h avrRpm1 adr1_3_8h_avrRpm1 TRUE
SRR11934688-650 adr1 2 8h avrRpt2 adr1_2_8h_avrRpt2 TRUE
SRR11934689-651 adr1 3 0.5h EV adr1_3_0.5h_EV TRUE
SRR11934690-652 adr1 1 0.5h avrRpm1 adr1_1_0.5h_avrRpm1 TRUE
SRR11934691-653 adr1 2 0.5h avrRps4 adr1_2_0.5h_avrRps4 TRUE
SRR11934692-654 adr1 3 8h avrRpt2 adr1_3_8h_avrRpt2 TRUE
SRR11934693-655 adr1 2 0.5h avrRpm1 adr1_2_0.5h_avrRpm1 TRUE
SRR11934694-656 adr1 3 0.5h avrRps4 adr1_3_0.5h_avrRps4 TRUE
SRR11934695-657 adr1 1 0.5h avrRpt2 adr1_1_0.5h_avrRpt2 TRUE
SRR11934696-658 adr1 2 4h avrRpt2 adr1_2_4h_avrRpt2 TRUE
SRR11934697-659 adr1 3 0.5h avrRpm1 adr1_3_0.5h_avrRpm1 TRUE
SRR11934698-660 adr1 2 0.5h avrRpt2 adr1_2_0.5h_avrRpt2 TRUE
SRR11934699-661 adr1 2 8h EV adr1_2_8h_EV TRUE
SRR11934700-662 adr1 1 0h untreated adr1_1_0h_untreated TRUE
SRR11934701-663 adr1 3 0.5h avrRpt2 adr1_3_0.5h_avrRpt2 TRUE
SRR11934702-664 adr1 1 4h EV adr1_1_4h_EV TRUE
SRR11934703-665 adr1 2 0h untreated adr1_2_0h_untreated TRUE
SRR11934704-666 adr1 2 4h EV adr1_2_4h_EV TRUE
SRR11934705-667 adr1 1 4h avrRps4 adr1_1_4h_avrRps4 TRUE
SRR11934706 adr1 3 0h untreated adr1_3_0h_untreated FALSE
SRR11934707-668 adr1 3 4h EV adr1_3_4h_EV TRUE
SRR11934708-669 adr1 1 4h avrRpm1 adr1_1_4h_avrRpm1 TRUE
SRR11934709-670 adr1 2 4h avrRps4 adr1_2_4h_avrRps4 TRUE
SRR11934710-671 adr1 2 4h avrRpm1 adr1_2_4h_avrRpm1 TRUE
SRR11934711-672 adr1 3 4h avrRps4 adr1_3_4h_avrRps4 TRUE
SRR11934712-673 adr1 1 4h avrRpt2 adr1_1_4h_avrRpt2 TRUE
